"index","content"
"191","
  Sonoita, 
  Arizona 
  85637 
"
"192","Arkansas"
"193","Ozark Natural Foods Co-op"
"194","
    1554 N. College Avenue"
"195","
  Fayetteville, 
  Arkansas 
  72703 
"
"196","Phone: (479) 521-7558"
"197","jerry@ozarknaturalfoods.com"
"198","http://www.ozarknaturalfoods.com"
"199","Summercorn Foods"
"200","
    1410 Cato Springs Road"
"201","
  Fayetteville, 
  Arkansas 
  72701 
"
"202","Phone: (501) 521-9338"
"203","info@summercorn.com"
"204","http://www.summercorn.com/"
"205","California"
"206","Arroyo Food Coop"
"207","
    494 N. Wilson Ave."
"208","
  Pasadena, 
  California 
  91106 
"
"209","Phone: (626) 568-2799"
"210","www.arroyofoodcoop.com"
"211","Bolinas Peoples Store"
"212","
    P. O. Box 808"
"213","
  Bolinas, 
  California 
  94924 
"
"214","Phone: (415) 868-1433"
"215","BriarPatch Co-op Natural Foods Community Market"
"216","
    290 Sierra College Drive, Suite A"
"217","
  Grass Valley, 
  California 
  95945 
"
"218","Phone: (530) 272-5333"
"219","info@briarpatch.coop"
"220","http://www.briarpatch.coop"
"221","Caju Food Coop"
"222","
    1895 W Commonwealth Ave. #B"
"223","
  Fullerton, 
  California 
  92833 
"
"224","Phone: (714) 773-4984"
"225","gocoop@gmail.com"
"226","www.gocoop.org"
"227","Chico Natural Foods"
"228","
    818 Main Street"
"229","
  Chico, 
  California 
  95928 
"
"230","Phone: (530) 891-1713"
"231","Co-opportunity Consumers Co-op"
"232","
    1525 Broadway"
"233","
  Santa Monica, 
  California 
  90404 
"
"234","Phone: (310) 451-8902"
"235","service@coopportunity.com"
"236","http://www.coopportunity.com/"
"237","Corners of the Mouth Natural Foods"
"238","
    45015 Ukiah Street PO Box 367"
"239","
  Mendocino, 
  California 
  95460 
"
"240","Phone: (707) 937-5345"
"241","Davis Food Co-op"
"242","
    620 G Street"
"243","
  Davis, 
  California 
  94608 
"
"244","Phone: (530) 758-2667"
"245","dwalter@davisfood.coop"
"246","http://www.davisfood.coop"
"247","Isla Vista Food Co-op"
"248","
    6575 Seville Road"
"249","
  Isla Vista, 
  California 
  93117 
"
"250","Phone: (805) 968-1401"
"251","ivcoop@silcom.com"
"252","www.islavistafood.coop"
"253","Kresge Food Co-op"
"254","
    600 Kresge CT, Kresge College UCSC"
"255","
  Santa Cruz, 
  California 
  95064 
"
"256","Phone: (831) 426-1506"
"257","coop@dv8.org"
"258","http://k9.dv8.org/~coop/"
"259","Monterey County Organic Co-op"
"260","
        (mailing) 
        PO BOX 1790"
"261","
  Seaside, 
  California 
  93955 
"
"262","Phone: (808) 492-0013"
"263","MCorganiccoop@gmail.com"
"264","www.facebook.com/MCorganiccoop"
"265","Mountain People Organics"
"266","
    10800 Airport Road"
"267","
  Columbia, 
  California 
  95310 
"
"268","http://mountainpeopleorganics.com"
"269","North Coast Co-op, Arcata"
"270","
    811 ""I"" Street"
"271","
  Arcata, 
  California 
  95521 
"
"272","Phone: (707) 822-5947"
"273","co-oparc@northcoastco-op.com"
"274","www.northcoastco-op.com"
"275","North Coast Co-op, Eureka"
"276","
    25 4th Street"
"277","
  Eureka, 
  California 
  95501 
"
"278","Phone: (707) 443-6027"
"279","cco-opeka@northcoastco-op.com"
"280","www.northcoastco-op.com"
"281","Ocean Beach People's Organic Food Co-op"
"282","
    4765 Voltaire St."
"283","
  San Diego, 
  California 
  92107 
"
"284","Phone: (619) 224-1387"
"285","editor@oceanbeachpeoples.com"
"286","http://www.obpeoplesfood.coop"
"287","Other Avenues Community Food Store"
"288","
    3930 Judah Street"
"289","
  San Francisco, 
  California 
  94122 
"
"290","Phone: (415) 661-7475"
"291","info@otheravenues.org"
"292","http://www.otheravenues.org/"
"293","Placerville Natural Food Co-op"
"294","
    535 Placerville Drive"
"295","
  Placerville, 
  California 
  95667 
"
"296","Phone: (530) 621-3663"
"297","http://www.placervillecoop.org/"
"298","Quincy Natural Foods Co-op"
"299","
    269 Main Street"
"300","
  Quincy, 
  California 
  95971 
"
"301","Phone: (530) 283-3528"
"302","qnf@snowcrest.net"
"303","http://www.gnf.coop/"
"304","Rainbow Grocery Co-op"
"305","
    1745 Folsom Street"
"306","
  San Francisco, 
  California 
  94103 
"
"307","Phone: (415) 863-0620"
"308","comments@rainbowgrocery.coop"
"309","http://www.rainbow.coop/"
"310","SLO Natural Foods Coop"
"311","
    2494 Victoria Ave"
"312","
  San Luis Obispo, 
  California 
  93401 
"
"313","Phone: (805) 544-7928"
"314","www.SLONaturalFoods.com"
"315","Sacramento Natural Foods Co-op"
"316","
    1900 Alhambra Blvd."
"317","
  Sacramento, 
  California 
  95816 
"
"318","Phone: (916) 455-2667"
"319","comments@sacfoodcoop.com"
"320","http://www.sacfoodcoop.com"
"321","SanKo Food Buying Club"
"322","
        (mailing) 
        PO Box 175"
"323","
  Lodi, 
  California 
  95241 
"
"324","Phone: (916) 800-3897"
"325","sanko4selfsufficiency@gmail.com"
"326","sankofbc.wordpress.com"
"327","Santa Rosa Community Market & Café"
"328","
    1899 Mendocino Avenue"
"329","
  Santa Rosa, 
  California 
  95401 
"
"330","Phone: (707) 546-1806"
"331","srcm1@sonic.net"
"332","http://www.srcommunitymarket.com/"
"333","The Cooperative Grocery (The CoG)"
"334","
    1450 67th Street"
"335","
  Emeryville, 
  California 
  95616 
"
"336","Phone: (510) 868-2883"
"337","info@thecog.org"
"338","http://www.thecog.org/"
"339","The Food Coop"
"340","
    0323F Student Cooperative Center,"
"341","
  San Diego, 
  California 
  92093 
"
"342","Phone: (619) 546-8339"
"343","foodcoop@burn.ucsd.edu"
"344","Ukiah Natural Foods"
"345","
    721 S State St"
"346","
  Ukiah, 
  California 
  95482 
"
"347","Phone: (707) 462-4778"
"348","unf@ukiahcoop.com"
"349","http://www.ukaihcoop.com/"
"350","Yucca Valley Co-op"
"351","
    58162 Aberdeen Dr."
"352","
  Yucca Valley, 
  California 
  92284 
"
"353","Phone: (760) 221-0943"
"354","kathylinngarcia@gmail.com"
"355","Colorado"
"356","All Things Homestead"
"357","
        (mailing) 
        PO Box 1745"
"358","
  Castle Rock, 
  Colorado 
  80104 
"
"359","Phone: (303) 578-6430"
"360","mail@allthingshomestead.com"
"361","http://allthingshomestead.com"
"362","Boulder Co-op Market"
"363","
    1904 Pearl Street"
"364","
  Boulder, 
  Colorado 
  80302 
"
"365","Phone: (303) 447-2667"
"366","http://www.boulder.coop"
"367","Comida Market"
"368","
    131 E Main St"
"369","
  Trinidad, 
  Colorado 
  81082 
"
"370","Phone: (719) 846-7869"
"371","communitycooptrinidad@gmail.com"
"372","http://www.trinidadfoodhub.com"
"373","Demeter's Market"
"374","
        (mailing) 
        PO Box 2054"
"375","West Chicago Creek"
"376","
  Idaho Springs, 
  Colorado 
  80452 
"
"377","Phone: (720) 436-6929"
"378","Durango Natural Foods"
"379","
    575 E 8th Avenue"
"380","
  Durango, 
  Colorado 
  81301 
"
"381","Phone: (970) 257-8129"
"382","info@durangonaturalfood.com"
"383","Farm2Table Trading Post"
"384","
    24485 County Road 5"
"385","
  Elbert, 
  Colorado 
  80106 
"
"386","Phone: (303) 520-8490"
"387","farm2tablecolorado@gmail.com"
"388","www.farm2tabletradingpost.com"
"389","Fort Collins Food Co-op"
"390","
    250 East Mountain Avenue"
"391","
  Fort Collins, 
  Colorado 
  80524 
"
"392","Phone: (970) 484-7448"
"393","foodcoop@ftcfoodcoop.com"
"394","http://www.ftcfoodcoop.com/"
"395","High Plains Food Coop"
"396","
    5655 S. Yosemite St., Suite 400"
"397","
  Greenwoods Village, 
  Colorado 
  80111 
"
"398","Phone: (785) 626-3640"
"399","info@highplainsfood.org"
"400","http://highplainsfood.org/"
"401","Huajatollas Food Co-op"
"402","
    106 County Road 632"
"403","
  Gardner, 
  Colorado 
  81040 
"
"404","Phone: (719) 746-2314"
"405","Hunt or Gather Buying Club"
"406","
    730 N. Nevada Avenue"
"407","
  Colorado Springs, 
  Colorado 
  80903 
"
"408","huntorgatherivywild@gmail.com"
"409","https://www.ppcf.org/our-projects/hunt-or-gather/buying-club/"
"410","Mountain People's Co-op"
"411","
    30 E. First St PO Box 161"
"412","
  Nederland, 
  Colorado 
  80466 
"
"413","Phone: (303) 258-7500"
"414","Natural Foods Market & Buyers Co-op"
"415","
    112 Colorado Avenue"
"416","
  Pueblo, 
  Colorado 
  81004 
"
"417","Phone: (719) 545-2958"
"418","Rafter W Ranch"
"419","
    27178 State Hwy 86"
"420","
  Simla, 
  Colorado 
  80835 
"
"421","Phone: (719) 541-1002"
"422","www.rafterwranch.net"
"423","Rainbow Gardens Co-op"
"424","
    655 Tabernash Drive"
"425","
  Ridgeway, 
  Colorado 
  81432 
"
"426","Phone: (970) 626-9720"
"427","kimah@independence.net"
"428","http://www.rainbowcoop.com/"
"429","SDA Coop"
"430","
    106 Division Avenue"
"431","
  Sterling, 
  Colorado 
  80751 
"
"432","Phone: (970) 265-2642"
"433","Valley Food Co-op"
"434","
    3211 Main Street"
"435","Suite G"
"436","
  Alamosa, 
  Colorado 
  81101 
"
"437","Phone: (719) 589-5727"
"438","www.valleyfood.coop"
"439","Connecticut"
"440","Back to Basics CT Buying Club"
"441","
    c/o 50 Coolidge Street"
"442","
  Manchester, 
  Connecticut 
  06040 
"
"443","Phone: (860) 649-6535"
"444","kziedman@snet.net"
"445","Big Deal Food Co-op"
"446","
    155 Reidy Hill Road"
"447","
  Amston, 
  Connecticut 
  06231 
"
"448","Phone: (860) 228-3774"
"449","RICHARDLSAGE@AOL.COM"
"450","Eastford Food Co-op Buying Club"
"451","
    119 Main Street"
"452","
  Hampton, 
  Connecticut 
  06247 
"
"453","Fiddleheads Food Co-op"
"454","
    13 Broad Street"
"455","
  New London, 
  Connecticut 
  06320 
"
"456","Phone: (860) 701-9123"
"457","Www.fiddleheadsfood.coop"
"458","Northwest Community Co-Op"
"459","
  Colebrook, 
  Connecticut 
  06021 
"
"460","Phone: (203) 231-7176"
"461","info@nwcommunitycoop.com"
"462","http://nwcommunitycoop.com"
"463","White Oak Buying Club"
"464","
  Shelton, 
  Connecticut 
  06484 
"
"465","whiteoakbc28@gmail.com"
"466","Wholistic Food Options"
"467","
    231 Salem Turnpike"
"468","
  Norwich, 
  Connecticut 
  06360 
"
"469","Phone: (860) 848-7199"
"470","jmacietny@aol.com"
"471","Willimantic Food Co-op"
"472","
    91 valley St"
"473","
  Willimantic, 
  Connecticut 
  06226 
"
"474","Phone: (860) 456-3611"
"475","willifoodcoop@snet.net"
"476","http://www.willimanticfood.coop"
"477","Delaware"
"478","Newark Natural Foods Cooperative"
"479","
    230 E. Main Street,  Newark Shopping Center"
"480","
  Newark, 
  Delaware 
  19711 
"
"481","Phone: (302) 368-5894"
"482","marketing@newarknaturalfoods.com"
"483","http://www.newarknaturalfoods.com/"
"484","Florida"
"485","Abundant Organic & Naturals Co-op"
"486","
    2203 Orlando Road"
"487","
  Panama City, 
  Florida 
  32405 
"
"488","Phone: (850) 358-2810"
"489","www.abundantorganicandnaturals.com"
"490","Awesome Organic Club"
"491","
    644 Juniper Place"
"492","
  Wellington, 
  Florida 
  33414 
"
"493","Phone: (561) 793-1549"
"494","info@awesomeorganicclub.com"
"495","AWESOMEORGANICCLUB.COM"
"496","Become Eco, Inc."
"497","
    20651 US-441"
"498","
  Mount Dora, 
  Florida 
  32757 
"
"499","Phone: (352) 551-9129"
"500","support@becomeeco.com"
"501","Bread and Roses Food Cooperative"
"502","
    915-2 Railroad Avenue"
"503","
  Tallahassee, 
  Florida 
  32301 
"
"504","Phone: (850) 425-8486"
"505","breadandrosesfoodcoop.org"
"506","Buying Club"
"507","
    14750 M.L.K. Blvd"
"508","
  Jacksonville Florida, 
  Florida 
"
"509","Phone: (904) 881-5773"
"510","info@jaxnaturalfoods.com"
"511","http://www.jaxnaturalfoods.com"
"512","Citizens Co-op"
"513","
    435 So. Main St."
"514","
  Gainesville, 
  Florida 
  32601 
"
"515","Phone: (352) 505-6575"
"516","info@citizensco-op.com "
"517","http://citizensco-op.com"
"518","Empower Organic Buyer's Club"
"519","
    37826 Highway 19"
"520","
  Umatilla, 
  Florida 
  32784 
"
"521","Phone: (352) 978-0509"
"522","empowerobc@gmail.com"
"523","http://empowerobc.com"
"524","Essentials For Life"
"525","
    2106 Flora Avenue"
"526","
  Ft. Myers, 
  Florida 
  33907 
"
"527","Phone: (239) 939-2529"
"528","essentialsforlife@embarqmail.com"
"529","http://www.myessentialsforlife.com"
"530","Ever'man Cooperative Grocery & Cafe"
"531","
    315 W. Garden St"
"532","
  Pensacola, 
  Florida 
  32502 
"
"533","Phone: (850) 438-0402"
"534","info@everman.org"
"535","http://www.everman.org/"
"536","Fresh Fruit & Veggie Co-op"
"537","
    2250 SR 580, Suite 2"
"538","
  Clearwater, 
  Florida 
  33763 
"
"539","Phone: (727) 488-0858"
"540","ffvcoop@gmail.com"
"541","www.ffvcoop.com"
"542","Gator Organics"
"543","
    1323 NW 8 St."
"544","
  Gainesville, 
  Florida 
  32601 
"
"545","Phone: (352) 222-5392"
"546","gatororganicsfl@gmail.com"
"547","Give Organic"
"548","
  Wildwood, 
  Florida 
  34785 
"
"549","Phone: (407) 276-2232"
"550","giveorganic@yahoo.com"
"551","giveorganic.weebly.com"
"552","Greener Living Co-op"
"553","
  Wauchula, 
  Florida 
  33873 
"
"554","Phone: (863) 773-0138"
"555","breast4babes@yahoo.com"
"556","http://health.groups.yahoo.com/group/GreenerLivingCoOp/"
"557","Gregg L. Friedman MD Organic Coop"
"558","
    2500 East Hallandale Beach Blvd, Suite 702"
"559","
  Hallandale Beach, 
  Florida 
  33009 
"
"560","Phone: (954) 456-1996"
"561","Happy Healthy Human Organic Produce Coop/Buying Club"
"562","
  Indialantic, 
  Florida 
  32903 
"
"563","happyhealthyhumanfood@gmail.com"
"564","http://www.funkyfreshfoods.com/"
"565","Homegrown Local Food Cooperative"
"566","
    2310 N Orange Ave"
"567","
  Orlando, 
  Florida 
  32804 
"
"568","Phone: (407) 895-5559"
"569","info@homegrowncoop.org"
"570","homegrowncoop.org"
"571","Joy Of Organics"
"572","
    1439 NE 53 Street"
"573","
  Fort Lauderdale, 
  Florida 
  33334 
"
"574","Phone: (954) 465-6502"
"575","www.joyoforganics.com"
"576","Jumplight Farms"
"577","
    9219 Lantern Drive"
"578","
  Lake Worth, 
  Florida 
  33467 
"
"579","Phone: (561) 427-7296"
"580","jumplightfarms@comcast.net"
"581","http://www.jumplightfarmsonline.com/"
"582","Kissimmee Organic Co-op"
"583","
    4830 Lake Cecile Drive"
"584","
  Kissimmee, 
  Florida 
  34746 
"
"585","Phone: (407) 870-9839"
"586","sharonamus@aol.com"
"587","http://members.tripod.com/kissimmeeorganiccoop/"
"588","Little River Co-op"
"589","
    3218 Palmetto Rd."
"590","
  Wimauma, 
  Florida 
  33598 
"
"591","Phone: (702) 995-1092"
"592","lucyomalley@hotmail.com"
"593","http://www.organicconsumers.org/linkpage.cfm?memid=2790"
"594","My Organic Food Club"
"595","
    3000 Banyan Road"
"596","
  Boca Raton, 
  Florida 
  33432 
"
"597","Phone: (877) 832-8289"
"598","myorganicfoodclub@gmail.com"
"599","http://myorganicfoodclub.com/"
"600","NSB Eats Organic"
"601","
    Columbus Avenue"
"602","
  New Smyrna Beach, 
  Florida 
  32169 
"
"603","Phone: (386) 690-9355"
"604","Nsbeatsorganic.com"
"605","Nadoona Food Co-op Orlando"
"606","
    7963 Harbor Bend Circle"
"607","
  Orlando, 
  Florida 
  32822 
"
"608","Phone: (407) 591-9493"
"609","coop@nadoona.com"
"610","http://nadoonafoodcooporlando.webs.com/"
"611","Natural Food Co-op"
"612","
    14750 M.L.K. Blvd"
"613","
  Dover, 
  Florida 
  33527 
"
"614","Phone: (813) 659-0349"
"615","asouther@tampabay.rr.com"
"616","New Leaf Market Co-Op"
"617","
    1235 Apalachee Parkway"
"618","
  Tallahassee, 
  Florida 
  32301 
"
"619","Phone: (850) 894-5151"
"620","http://www.newleafmarket.coop"
"621","
    6668-0 Thomasville Road"
"622","
  Tallahassee, 
  Florida 
  32312 
"
"623","Organic Produce Buying Club of South Florida"
"624","
    none"
"625","
  Florida, 
  Florida 
"
"626","Phone: (305) 868-2136"
"627","jetsetrose@the-beach.net"
"628","http://www.organicbuyingclubsofla.com"
"629","Queen Bee Foods"
"630","
    2213 Cypress Point Drive, East"
"631","
  Clearwater, 
  Florida 
  33763 
"
"632","Phone: (727) 906-5147"
"633","info@queenbeefresh.com"
"634","https://queenbeefresh.com"
"635","Seminole Natural Foods"
"636","
    1550 Warwick Place"
"637","
  Longwood, 
  Florida 
  32750 
"
"638","Phone: (407) 699-1883"
"639","http://groups.yahoo.com/group/SeminoleNFC/"
"640","Sunseed Food Co-op, Inc."
"641","
    6615 N. Atlantic Avenue"
"642","
  Cape Canaveral, 
  Florida 
  32920 
"
"643","Phone: (321) 784-0930"
"644","http://www.sunseedfoodcoop.com"
"645","West Orlando Healthy Families"
"646","
    6813 Hyland Oaks Rd."
"647","
  Orlando, 
  Florida 
  32818 
"
"648","Phone: (407) 522-9548"
"649","heather@wohf.com"
"650","http://www.wohf.com/"
"651","Wilderness Family Co-op"
"652","
        (mailing) 
        PO Box 682"
"653","
  Ellenton, 
  Florida 
  34222 
"
"654","vee@wildernessfamilycoop.com"
"655","www.wildernessfamilycoop.com"
"656","Georgia"
"657","Daily Groceries Food Co-op"
"658","
    523 Prince Ave"
"659","
  Athens, 
  Georgia 
  30601 
"
"660","Phone: (706) 548-1732"
"661","eatdaily@bellsouth.net"
"662","http://www.dailycoop.com/"
"663","Dirt Road Organics Buying Club"
"664","
    1979 Harrietts Bluff Rd"
"665","
  Woodbine, 
  Georgia 
  31569 
"
"666","Phone: (912) 729-9580"
"667","www.dirtroadorganics.com"
"668","Higher Ground"
"669","
    2555 J Warren Road"
"670","
  Cornelia, 
  Georgia 
  30531 
"
"671","Life Grocery Natural Food Co-op & Café"
"672","
    1453 Roswell Road"
"673","
  Marietta, 
  Georgia 
  30062 
"
"674","Phone: (770) 977-9583"
"675","customerservice@lifegrocery.com"
"676","http://www.lifegrocery.com/"
"677","Sevananda Food Co-op"
"678","
    467 Moreland Ave NE"
"679","
  Atlanta, 
  Georgia 
  30307 
"
"680","Phone: (404) 681-2831"
"681","info@sevananda.com"
"682","http://www.sevananda.coop/"
"683","Southern Mountain Livin @ Mountain View Farm"
"684","
    189 John Abernathy Rd"
"685","
  Blairsville, 
  Georgia 
  30512 
"
"686","Phone: (706) 897-3396"
"687","Mtnviewdairyfarm@outlook.com"
"688","https://www.facebook.com/southernmtnlivinmtnviewfarm/"
"689","Hawaii"
"690","Hawaii Organic Families"
"691","
  Honolulu, 
  Hawaii 
  96818 
"
"692","Phone: (858) 633-3707"
"693","Hawaiiorganicfamilies@gmail.com"
"694","https://m.facebook.com/groups/376511652551252"
"695","Kokua Market Natural Foods Co-op"
"696","
    2643 S. King Street"
"697","
  Honolulu, 
  Hawaii 
  96826 
"
"698","Phone: (808) 941-1922"
"699","kokuamarket@verizon.net"
"700","The Ark Buying Club"
"701","
    6178 Helena Lane"
"702","
  Kappa, 
  Hawaii 
  96746 
"
"703","caristo@usa.net"
"704","Idaho"
"705","Boise Consumer Co-op"
"706","
    888 W. Fort Street"
"707","
  Boise, 
  Idaho 
  83702 
"
"708","Phone: (208) 472-4500"
"709","info@boisecoop.com"
"710","http://www.boisecoop.com/"
"711","Moscow Food Co-op"
"712","
    121 E. 5th St"
"713","
  Moscow, 
  Idaho 
  83843 
"
"714","Phone: (208) 882-8537"
"715","kenna@moscowfood.coop"
"716","http://www.moscowfood.coop"
"717","Pocatello Co-op"
"718","
    515 N. Main St"
"719","
  Pocatello, 
  Idaho 
  83204 
"
"720","Phone: (208) 232-2181"
"721","http://www.pocatellocoop.com/"
"722","Illinois"
"723","Addison Buying Club - Seven Sons Farms"
"724","
    292 Oak Meadows Dr"
"725","
  Wood Dale, 
  Illinois 
  60101 
"
"726","Phone: (877) 620-1977"
"727","https://sevensons.net/locations/addison"
"728","Co-op Markets: 47th St."
"729","
    1300 E. 47th St."
"730","
  Chicago, 
  Illinois 
  60653 
"
"731","Phone: (773) 268-4700"
"732","coopmarkets@coopmarkets.com"
"733","Co-op Markets: Mr. G"
"734","
    1226 E. 53rd St."
"735","
  Chicago, 
  Illinois 
  60615 
"
"736","Phone: (773) 363-2175"
"737","coopmarkets@coopmarkets.com"
"738","Common Ground Food Co-op"
"739","
    300 South Broadway Avenue, Suite #166"
"740","London Square Mall"
"741","
  Urbana, 
  Illinois 
  61801 
"
"742","Phone: (217) 352-3347"
"743","comments@commonground.coop"
"744","http://www.commonground.coop/"
"745","Downtown Chicago Buying Club - Seven Sons Farms"
"746","
    1030 North Larrabee Street"
"747","
  Chicago, 
  Illinois 
  60610 
"
"748","Phone: (877) 620-1977"
"749","https://sevensons.net/locations/downtown-chicago"
"750","Duck Soup Co-op"
"751","
    129 E. Hillcrest Drive"
"752","
  DeKalb, 
  Illinois 
  60115 
"
"753","Phone: (815) 756-7044"
"754","ducksoupcoop@tbc.net"
"755","Food Shed Co-op"
"756","
        (mailing) 
        PO Box 1663"
"757","
  Woodstock, 
  Illinois 
  60098 
"
"758","Phone: (815) 315-1541"
"759","info@foodshed.coop"
"760","www.foodshed.coop"
"761","Midwest Lamb and Beef Buying Club"
"762","
  Charleston, 
  Illinois 
  61920 
"
"763","Phone: (217) 508-6197"
"764","midwestlamb@gmail.com"
"765","www.midwestlamb.net"
"766","Naperville Buying Club - Seven Sons Farms"
"767","
    1924 Vassar Dr"
"768","
  Naperville, 
  Illinois 
  60565 
"
"769","Phone: (877) 620-1977"
"770","https://sevensons.net/locations/naperville"
"771","Neighborhood Co-op Grocery"
"772","
    1815 W. Main Street"
"773","
  Carbondale, 
  Illinois 
  62901 
"
"774","Phone: (618) 529-3533"
"775","fmurphy7@juno.com"
"776","http://www.neighborhood.coop/"
"777","South Suburban Food Co-op"
"778","
    208 Forest Blvd"
"779","
  Park Forest, 
  Illinois 
  60466 
"
"780","Phone: (708) 747-2256"
"781","info@southsuburbanfoodcoop.com"
"782","http://www.ssfcoop.com/"
"783","Stone Soup Ashland"
"784","
    4637 N. Ashland"
"785","
  Chicago, 
  Illinois 
  60614 
"
"786","Straddle Creek Food Co-op"
"787","
    112 Market Street - West"
"788","
  Mt. Carroll, 
  Illinois 
  61053 
"
"789","Phone: (815) 244-2667"
"790","Sugar Beet Food Co-op"
"791","
    812 W. MADISON"
"792","
  Oak Park, 
  Illinois 
  60302 
"
"793","Phone: (708) 948-7656"
"794","cheryl@sugarbeetcoop.com"
"795","www.sugarbeet.coop"
"796","The Dill Pickle Co-op"
"797","
    3039 W. Fullerton Ave"
"798","
  Chicago, 
  Illinois 
  60647 
"
"799","Phone: (773) 252-2667"
"800","info@dillpickle.coop"
"801","www.dillpickle.coop"
"802","West Central Illinois Food Cooperative"
"803","
    P.O. Box 677"
"804","
  Galesburg, 
  Illinois 
  61402 
"
"805","wcifoodcoop@wcifoodcoop.com"
"806","http://www.wcifoodcoop.com"
"807","Indiana"
"808","Bloomingfoods Downtown"
"809","
    419 East Kirkwood Avenue"
"810","
  Bloomington, 
  Indiana 
  47408 
"
"811","Phone: (812) 336-5300"
"812","kirkwood@bloomingfoods.coop"
"813","http://www.bloomingfoods.coop"
"814","Bloomingfoods Market & Deli"
"815","
    3220 East Third Street"
"816","
  Bloomington, 
  Indiana 
  47401 
"
"817","Phone: (812) 336-5400"
"818","east@bloomingfoods.coop"
"819","http://www.bloomingfoods.coop"
"820","Bloomingfoods Near West Side"
"821","
    316 West Sixth Street"
"822","
  Bloomington, 
  Indiana 
  47404 
"
"823","Phone: (812) 333-7312"
"824","west@bloomingfoods.coop"
"825","http://www.bloomingfoods.coop"
"826","City Foods Co-op"
"827","
    632 Main St"
"828","
  Lafayette, 
  Indiana 
  47901 
"
"829","Phone: (765) 414-1136"
"830","manager@cityfoods.org"
"831","www.cityfoods.org"
"832","Clear Creek Food Co-op"
"833","
    701 West National Road, Earlham"
"834","
  Richmond, 
  Indiana 
  47374 
"
"835","Phone: (765) 983-1547"
"836","coop@clearcreekcoop.org"
"837","http://www.clearcreekcoop.org"
"838","Crown Point Buying Club - Seven Sons Farms"
"839","
    13140 Hayes St"
"840","
  Crown Point, 
  Indiana 
  46307 
"
"841","Phone: (877) 620-1977"
"842","https://sevensons.net/locations/crown-point"
"843","East Lansing Buying Club - Seven Sons Farms"
"844","
    4301 Farm Lane"
"845","
  East Lansing, 
  Indiana 
  48910 
"
"846","Phone: (877) 620-1977"
"847","https://sevensons.net/locations/east-lansing"
"848","Ft Wayne - Illinois Rd Buying Club - Seven Sons Farms"
"849","
    4930 Illinois Road, Suite C1"
"850","
  Fort Wayne, 
  Indiana 
  46804 
"
"851","Phone: (877) 620-1977"
"852","https://sevensons.net/locations/illinois-rd-ft-wayne"
"853","Ft Wayne - St Joe Center Rd Buying Club - Seven Sons Farms"
"854","
    3774 Saint Joe Center Road"
